user_id;created_at;status_id;text
104577235;2021-04-17T13:26:56Z;1.38341E+18;Good news  Starting on Sunday  all Virginians over the age of 16 will be eligible for vaccines   You can find and schedule appointments directly through the Vaccinate Virginia vaccine system by visiting  or by calling 877 829 4682  CovidVaccine
273928529;2021-04-17T12:39:49Z;1.3834E+18;Health Canada has received a submission from Pfizer BioNTech to expand the use of its  CovidVaccine in individuals 12 years of age and older  The Department is currently reviewing this submission  
3257869126;2021-04-16T14:54:32Z;1.38307E+18;If you are having problems registering for your  COVIDVaccine on the site today  we have information on our website that may be useful         You can also call us on 1850241850 
211161295;2021-04-17T12:17:26Z;1.38339E+18;Just interrupted the reporter on live news because she asked about the safety of AZ vaccine  Never in 11 years of practicing medicine has a patient asked me which brand of life saving vaccine they d receive  If we want out of this pandemic  take the  CovidVaccine you re offered 
1495260666;2021-04-17T12:14:16Z;1.38339E+18; The Modi government  which sets much store on the Quad alliance  must ensure that the Biden Administration keeps to its committed word and immediately ensure supply of essential vaccine material to India      COVID19India  covidvaccine
184599763;2021-04-17T11:51:13Z;1.38339E+18;1st Dose Progress                 21 1   2nd Dose Progress                 8 8   As of Thursday  15 Apr 2021  Note  percentages of 16  population only  Data sources in bio   CovidVaccine  COVID19  COVID19Ireland 
1.3309E+18;2021-04-17T11:50:15Z;1.38339E+18;Economical situation in  Iran is so tense that people line up to buy chicken skin and can rarely provide bread  All this while Khamenei refuses to spend even a dollar for  CovidVaccine that will ease pressure and provide families safety during  Ramadan 
1.27823E+18;2021-04-17T11:37:57Z;1.38338E+18;About 5 Lakh  CovidVaccine doses have been arrived at Vijayawada  AP from Pune     IndiaFightsCorona 
8.5528E+17;2021-04-17T11:35:50Z;1.38338E+18;I understand the principle of the risk/ benefit argument around the  AstraZenaca  CovidVaccine but I am constantly hearing that over 50 s are also less likely to get clots  Can anyone explain on what basis less likely  Genuine question   auspol  FactsMatter
65941635;2021-04-17T11:33:07Z;1.38338E+18;Did you also take the  COVIDVaccine  Then  here's your chance to inspire millions to get  Vaccinated too  Share your pictures with an interesting tagline   you can stand a chance to win  5 000  Visit        
1.26782E+18;2021-04-17T11:21:26Z;1.38338E+18;  We are  InThisTogether to beat  COVID19 Tips     Maintain at least 6 feet of distance between yourself   others     Double mask for greater protection      Wash your hands or hand sanitizer    Staying safe     protects you    protects others   Dems4USA  CovidVaccine 
8.65E+17;2021-04-17T11:16:13Z;1.38338E+18;    Mask for Glasses Wearers    Covid 19  UKGiftAM  UKGiftHour  lockdowns   COVID 19  Sales  Corona  coronavirus  vaccination  giftideas  SaturdayMorning  gift  giveaway  royal  vaccine  GBNews  VaccinePassports  lockdowns  design  CovidVaccine  
8.65E+17;2021-04-16T11:38:36Z;1.38302E+18;     Mask for Glasses Wearers    Covid 19  UKGiftAM  UKGiftHour  lockdowns   COVID 19  Sales  Corona  coronavirus  vaccination  giftideas  FridayThoughts  giveaway  CovidVaccine  designs  fridaymorning  VaccinePassports  lockdowns  design   
8.65E+17;2021-04-16T09:26:11Z;1.38299E+18;     Mask for Glasses Wearers    Covid 19  UKGiftAM  UKGiftHour  lockdowns   COVID 19  Sales  Corona  coronavirus  vaccination  giftideas  FridayThoughts  giveaway  CovidVaccine  designs  fridaymorning  VaccinePassports  lockdowns  design   
8.65E+17;2021-04-16T21:33:23Z;1.38317E+18;     Mask for Glasses Wearers    Covid 19  UKGiftAM  UKGiftHour  lockdowns   COVID 19  Sales  Corona  coronavirus  vaccination  giftideas  FridayThoughts  gift  giveaway  CovidVaccine  designs  fridaymorning  VaccinePassports  lockdowns  design  
1.33739E+18;2021-04-17T11:10:54Z;1.38338E+18;Micheál Martin confirms that the president of the EU commission has informed him of plans to ramp up vaccinations for children through 2022 and 2023   CovidVaccine  Ireland  EndTheLockdown 
1.04094E+18;2021-04-17T11:07:41Z;1.38338E+18;I'd be fairly p ssed off if I was a teacher or a Garda reading that   CovidVaccine 
58281990;2021-04-16T16:36:09Z;1.3831E+18;Just interrupted the reporter on live news because she asked about the safety of AZ vaccine  Never in 11 years of practicing medicine has a patient asked me which brand of life saving vaccine they d receive  If we want out of this pandemic  take the  CovidVaccine you re offered 
8.14415E+17;2021-04-17T11:03:35Z;1.38338E+18;We don't have separate custom  vaccines for women  minorities and LGBTQ proves that the team of inventors was not inclusive enough  Atleast 3 social science   gender studies scientists must be made mandatory for every scientific project    CovidVaccine
8960282;2021-04-17T10:53:44Z;1.38337E+18;We've now administered almost 1 2M   CovidVaccine with 22  of the eligible population having had a 1st dose  The real measures of sickness  hospitalisations  ICU   mortality all radically reduced  Next week we commence those aged 65 69 
1.35729E+18;2021-04-17T10:50:27Z;1.38337E+18;A picture is worth a 1000 words    and we're very proud of this picture  proud to become a working group contributor for this singularly important effort in the interest of international public health      SHR  ID2020  VaccinePassports  CovidVaccine 
2525015851;2021-04-17T10:42:42Z;1.38337E+18;Just interrupted the reporter on live news because she asked about the safety of AZ vaccine  Never in 11 years of practicing medicine has a patient asked me which brand of life saving vaccine they d receive  If we want out of this pandemic  take the  CovidVaccine you re offered 
545305049;2021-04-17T10:27:13Z;1.38337E+18;FranceSoir   French Newspaper    has published a very interesting article on  SARS CoV 2 spike protein and has mentioned one of my papers on the topic  Thanks   COVID19  spikeprotein  medicine  coronavirus  Science  CovidVaccine  COVID19Vaccine  viruses 
1.36863E+18;2021-04-16T08:34:31Z;1.38298E+18;Today we re inviting people aged 68 and 69 to register for your  COVIDVaccine  The quickest   easiest way to register is online  You'll need     PPSN    Eircode    Mobile number    Email address You will be vaccinated with the AstraZeneca vaccine  Register  
